REG_ANS;CNPJ;Razao_Social
320510;6,92892E+13;ATÍVIA SERVIÇOS DE SAÚDE S/A
423629;4,99555E+13;AURORA SAÚDE LTDA
327417;5,98478E+13;AUSTACLINICAS ASSISTÊNCIA MÉDICA E HOSPITALAR LTDA
423734;5,05078E+13;AVANT ADMINISTRADORA DE BENEFICIOS LTDA
424005;5,11247E+13;AVANTI ADMINISTRADORA DE BENEFÍCIOS EM SAÚDE LTDA EPP
418013;1,29032E+13;BACCS ADMINISTRADORA DE BENEFÍCIOS LTDA
422991;4,12153E+13;BAUEN LIFE LTDA.
419257;1,92405E+13;BCI ADMINISTRADORA DE BENEFÍCIOS LTDA.
419125;7,61195E+12;BEDOIS SERVIÇOS DE ADMINISTRAÇÃO DE BENEFÍCIOS LTDA.
421332;2,91383E+13;BEM ADMINISTRADORAS LTDA
420697;2,53138E+13;BEM ESTAR ADMINISTRADORA DE BENEFÍCIOS LTDA
417874;8,1926E+12;BEM MAIS ODONTO OPERADORA ODONTOLÓGICA LTDA.
423181;4,5051E+13;BEMSTAR ASSISTENCIA MEDICA LTDA
318299;8,3506E+13;BENEFICENCIA CAMILIANA DO SUL
421189;2,27091E+13;BENEFICENCIA SOCIAL BOM SAMARITANO
419869;1,23803E+13;BENEFIT ADMINISTRADORA DE BENEFÍCIOS LTDA.
423891;5,04361E+13;BENEFIT BENEFICIOS LTDA
423467;4,60924E+13;BENET ADMINISTRAÇÃO DE BENEFÍCIOS LTDA
421324;2,91791E+13;BENEVITAE ADMINISTRADORA DE BENEFÍCIOS LTDA
417718;1,10731E+13;BENEVIX ADMINISTRADORA DE BENEFÍCIOS LTDA
366561;2,84939E+12;BENSAUDE PLANO DE ASSISTENCIA MEDICA HOSPITALAR LTDA.
420042;1,38524E+13;BEST LIFE ASSESSORIA NA GESTÃO E ADMINISTRADORA DE BENEFÍCIOS LTDA
421766;3,24217E+13;BEST SENIOR OPERADORA DE SAÚDE LTDA
402966;3,12315E+12;BIO SAÚDE SERVIÇOS MÉDICOS LTDA
419079;1,46742E+13;BIORAL SISTEMA ODONTOLÓGICO LTDA.
415111;4,29914E+12;BIOVIDA SAÚDE LTDA.
422401;3,46736E+13;BIT LIFE BENEFÍCIOS LTDA
424552;6,02336E+13;BKR SAÚDE ADMINISTRADORA DE BENEFÍCIOS LTDA
424170;5,45579E+13;BLUZZ SAÚDE S/A
424218;5,69807E+13;BOA SAUDE ADMNISTRADORA DE BENEFICIOS DE SAUDE LTDA
424706;6,20905E+13;BONNA SAUDE LTDA
421715;1,50117E+13;BRADESCO SAÚDE - OPERADORA DE PLANOS  S/A
5711;9,26931E+13;BRADESCO SAÚDE S.A.
421561;3,15961E+13;BRASIL ODONTO OPERADORA DE PLANOS ODONTOLÓGICOS LTDA
419419;1,99623E+13;BRASILDENTAL OPERADORA DE PLANOS ODONTOLÓGICOS S.A.
419613;1,48386E+13;BRAZIL DENTAL OPERADORA DE PLANOS ODONTOLÓGICOS LTDA
417238;1,83872E+12;BRF S/A
